old_path,new_path,date,company,format,status
"to_check/valid/20250218_SOLADES1RWL_PAIN00800102_1.xml","to_check/valid/20250218_ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ_PAIN00800102_1.xml","20250218","ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ","PAIN00800102","RENAMED"
"to_check/valid/20250218_SOLADES1RWL_PAIN00800102_2.xml","to_check/valid/20250218_ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ_PAIN00800102_2.xml","20250218","ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ","PAIN00800102","RENAMED"
"to_check/valid/20250219_SOLADES1RWL_PAIN00800102.xml","to_check/valid/20250219_ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ_PAIN00800102.xml","20250219","ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ","PAIN00800102","RENAMED"
"to_check/valid/20250219_SOLADES1RWL_PAIN00800102_1.xml","to_check/valid/20250219_ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ_PAIN00800102_1.xml","20250219","ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ","PAIN00800102","RENAMED"
"to_check/valid/20250219_SOLADES1RWL_PAIN00800102_2.xml","to_check/valid/20250219_ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ_PAIN00800102_2.xml","20250219","ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ","PAIN00800102","RENAMED"
"to_check/valid/20250219_SOLADES1RWL_PAIN00800102_3.xml","to_check/valid/20250219_ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ_PAIN00800102_3.xml","20250219","ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ","PAIN00800102","RENAMED"
"to_check/valid/20250410_SOLADES1RWL_PAIN00800102.xml","to_check/valid/20250410_ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_PAIN00800102.xml","20250410","ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG","PAIN00800102","RENAMED"
"to_check/valid/20250520_SOLADES1RWL_PAIN00800102.xml","to_check/valid/20250520_ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_PAIN00800102.xml","20250520","ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG","PAIN00800102","RENAMED"
"to_check/valid/20250730_DEUTNL2AXXX_PAIN00100109.xml","to_check/valid/20250730_APOTHEEK_DOCMORRIS_N_V_VOSKUILENWEG_131B_PAIN00100109.xml","20250730","APOTHEEK_DOCMORRIS_N_V_VOSKUILENWEG_131B","PAIN00100109","RENAMED"
"to_check/valid/20250905_HYVEDEMM473_PAIN00100103.xml","to_check/valid/20250905_APOTHEEK_DOCMORRIS_N_V_PAIN00100103.xml","20250905","APOTHEEK_DOCMORRIS_N_V","PAIN00100103","RENAMED"
"to_check/valid/20251003_HYVEDEMM473_PAIN00100109.xml","to_check/valid/20251003_APOTHEEK_DOCMORRIS_N_V_PAIN00100109.xml","20251003","APOTHEEK_DOCMORRIS_N_V","PAIN00100109","RENAMED"
